"Name","Article_Number","Origin","Category","Brand","Alcohol","Price","Volume","PackagingType","Manufacturer","New_Year","Region","District","Grapes"
"Gallo Family Vineyards Chardonnay","2577514","USA","vin","Gallo Family Vineyards","13,00","69,90","0,75","","Gallo Family Vineyards","2018","Kalifornien","","Chardonnay 76%, French Colombard 5%, Semillon 4%"
"Columbia Winery Red Blend","2577314","USA","vin","Gallo Family Vineyards","13,80","125,00","0,75","","Gallo Family Vineyards","2018","Washington State","Columbia Valley AVA","Syrah 42%, Merlot 30%, Cabernet Sauvignon 18%, Malbec 8%, Mourverde 2%"
"Mâcon-Villages","2514814","Frankrike","vin","Henri de Villamont","13,00","129,00","0,75","","Henri de Villamont","2013","Bourgogne","AOC Mâcon-Villages","Chardonnay 100%"
"Gallo Family Vineyards Cabernet Sauvignon","2577414","USA","vin","Gallo Family Vineyards","13,00","69,90","0,75","","Gallo Family Vineyards","2018","Kalifornien","","Cabernet Sauvignon 77%, Petit Verdot 9%, Petite Sirah 8%, Rubired 3% och övriga druvor 3%."
"Bourgogne Gamay","2526214","Frankrike","vin","Henri de Villamont","13,00","125,00","0,75","","Henri de Villamont","2014","Bourgogne","AOC Bourgogne Gamay","Gamay 100%"
"Chambolle-Musigny 1er Cru Les Baudes","2514524","Frankrike","vin","Henri de Villamont","12,50","404,00","0,75","","Henri de Villamont","2013","Bourgogne","AOC Chambolle-Musigny 1er Cru","Pinot Noir 100%"
"Meursault","2537824","Frankrike","vin","Henri de Villamont","13,50","262,00","0,75","","Henri de Villamont","2015","Bourgogne","AOC Meursault Villages","Chardonnay 100%"
"Savigny-Lès-Beaune Le Village","2466524","Frankrike","vin","Henri de Villamont","13,00","225,00","0,75","","Henri de Villamont","","Bourgogne","AOC Savigny lès Beaune","Pinot Noir 100%"
"Spring Village Tempranillo 10L","2548652","Spanien","vin","Spring Village","13,50","658,90","10,00","","Spring Village","2016","","","Tempranillo"
"Gevrey-Chambertin Les Evocelles","2540424","Frankrike","vin","Henri de Villamont","12,50","293,70","0,75","","Henri de Villamont","2015","Bourgogne","AOC Gevrey-Chambertin","Pinot Noir 100%"
"Spring Village Merlot","2530639","USA","vin","Spring Village","12,50","22,90","0,19","","Spring Village","2012","Kalifornien","","Merlot 100%"
"Spring Village Grenache-Syrah Rosé","2546239","Frankrike","vin","Spring Village","12,50","22,90","0,19","","Spring Village","2013","IGP Pays d´oc","","Grenache, Syrah"
"Spring Village Grenache-Syrah Rosé","2519241","Frankrike","vin","Spring Village","12,50","61,90","0,75","","Spring Village","2013","IGP Pays d´oc","","Grenache, Syrah"
"Spring Village Chardonnay","2530539","USA","vin","Spring Village","13,00","22,90","0,19","","Spring Village","2012","Kalifornien","","Chardonnay 100%"
"Spring Village Grenache-Syrah Rosé","2573043","Frankrike","vin","Spring Village","12,50","105,00","1,50","","Spring Village","2013","IGP Pays d´oc","","Grenache, Syrah"
"Crémant de Bourgogne Blanc de Blancs Brut","2561414","Frankrike","vin","Henri de Villamont","11,50","123,00","0,75","","Henri de Villamont","2017","Bourgogne","AOC Crémant de Bourgogne","Chardonnay 100%"
