"Name","Article_Number","Origin","Category","Brand","Alcohol","Price","Volume","PackagingType","Manufacturer","New_Year","Region","District","Grapes"
"Ananto Bobal Tempranillo EKO","2532814","Spanien","vin","Bodega Sierra Norte","13,50","62,90","0,75","","Bodega Sierra Norte","2015","Valencia","DO Utiel-Requena","Bobal 65%, Tempranillo 35%"
"Ananto Macabeo EKO","2532714","Spanien","vin","Bodega Sierra Norte","12,50","62,90","0,75","","Bodega Sierra Norte","2015","Valencia","DO Utiel-Requena","Macabeo 100%"
"Pasion de Bobal EKO","2556814","Spanien","vin","Bodega Sierra Norte","14,00","92,90","0,75","","Bodega Sierra Norte","2017","Valencia","DO Valencía","Bobal 100%"
"Ananto Bobal Rosé EKO","2532614","Spanien","vin","Bodega Sierra Norte","12,00","62,90","0,75","","Bodega Sierra Norte","2015","Valencia","DO Utiel-Requena","Bobal 100%"
"Heraclio Blanco EKO","2522314","Spanien","vin","Bodega Sierra Norte","13,00","70,90","0,75","","Bodega Sierra Norte","2013:2","Valencia","DO Utiel-Requena","Macabeo 80%, Sauvignon Blanc 20%"
"Ananto Red Wine 10L EKO","2529452","Spanien","vin","Bodega Sierra Norte","13,50","687,00","10,00","","Bodega Sierra Norte","2014:2","","DO Utiel-Requena","Bobal 65% och Tempranillo 35%"
"Smil Apelsin","2345250","","stilldrinkjuice","Smil","0,00","4,31","0,20","","Smil","2013","","",""
"Nygårda Cola Light","1301100","","läsk","Spendrups","0,00","5,09","0,33","","Spendrups","","","",""
"Heraclio Tinto EKO","2522114","Spanien","vin","Bodega Sierra Norte","13,50","70,90","0,75","","Bodega Sierra Norte","2013:2","Valencia","DO Utiel-Requena","Bobal 60%, Cabernet Sauvignon 40%"
"Barbera d'Asti Valdevani DOCG","2567811","Italien","vin","Mauro Sebaste","14,50","82,90","0,38","","Mauro Sebaste","2018","Piemonte","DOCG","Barbera 100%"
"Barbera d'Asti Valdevani DOCG","2567814","Italien","vin","Mauro Sebaste","14,50","111,00","0,75","","Mauro Sebaste","2018","Piemonte","DOCG","Barbera 100%"
"Barolo Cerretta DOCG","2569324","Italien","vin","Mauro Sebaste","14,50","368,00","0,75","","Mauro Sebaste","2018","Piemonte","DOCG","Nebbiolo 100%"
"Barolo Tresuri DOCG","2566624","Italien","vin","Mauro Sebaste","14,00","282,00","0,75","","Mauro Sebaste","2018","Piemonte","DOCG","Nebbiolo 100%"
"Mauro Sebaste Moscato d `Asti","2566721","Italien","vin","Mauro Sebaste","5,50","70,90","0,38","","Mauro Sebaste","2018","Piemonte","DOCG","Moscato Bianco d'Asti 100 %"
"Parigi Nebbiolo d´Alba DOC","2503814","Italien","vin","Mauro Sebaste","15,00","167,00","0,75","","Mauro Sebaste","2011","Piemonte","","Nebbiolo 100%"
"Roero Arneis DOCG","2523414","Italien","vin","Mauro Sebaste","14,00","112,00","0,75","","Mauro Sebaste","2013:2","Piemonte","","Arneis 100%"
"Mariluna EKO","2522214","Spanien","vin","Bodega Sierra Norte","13,50","81,90","0,75","","Bodega Sierra Norte","","Valencia","DO Valencía","Bobal 40% Monastrell 30%, Tempranillo 30%"
"Mariluna Blanco EKO","2567314","Spanien","vin","Bodega Sierra Norte","13,00","69,90","0,75","","Bodega Sierra Norte","2018","Valencia","DO Valencía","Verdejo 85%, Macabeo 15%"
"Schweppes Premium Mixers Tonic Hibiscus","2337710","","läsk","Schweppes","0,00","10,27","0,20","","Schweppes","2018","","",""
"Equilibrio 4 Monastrell EKO","2472914","Spanien","vin","Bodega Sierra Norte","14,50","80,90","0,75","","Bodega Sierra Norte","2018","","","Monastrell 100%"
"Schweppes Premium Mixers Tonic Pink Pepper","2337610","","läsk","Schweppes","0,00","10,27","0,20","","Schweppes","2014","","",""
"Newcastle Brown Ale 4,7","2134311","Storbritannien","öl","Scottish & Newcastle","4,70","20,82","0,33","","Scottish & Newcastle","","","",""
"Newcastle Brown Ale 4,7","2134391","Storbritannien","öl","Scottish & Newcastle","4,70","1687,00","30,00","","Scottish & Newcastle","","","",""
"Ananto White Wine 10L EKO","2529352","Spanien","vin","Bodega Sierra Norte","12,00","687,00","10,00","","Bodega Sierra Norte","2014:2","","DO Utiel-Requena","Macabeo 100%"
"Chinon Les Parcelles","2557814","Frankrike","vin","Pierre Chainier SAS","12,50","86,90","0,75","","Pierre Chainier SAS","2017","Loire","AOPChinon","Cabernet Franc 100%"
"Domaine Roc de Châteauvieux","2558014","Frankrike","vin","Pierre Chainier SAS","13,00","78,90","0,75","","Pierre Chainier SAS","2017","Loire","AOP Touraine","Sauvignon Blanc 100%"
"Sapporo 4,7","2100211","Japan","öl","Sapporo","4,70","18,71","0,33","","Sapporo","2018","","",""
"Les Calcaires Pinot Noir","2570514","Frankrike","vin","Pierre Chainier SAS","13,00","69,90","0,75","","Pierre Chainier SAS","2018","Loire","Vin de France","Pinot Noir 100%"
"Crémant de Loire Brut","2557914","Frankrike","vin","Pierre Chainier SAS","12,50","105,00","0,75","","Pierre Chainier SAS","2017","Loire","AOP Crémant de Loire","Chardonnay 80%, Chenin blanc 20%"
"Piano Di Montevergine Taurasi Riserva DOCG","2483024","Italien","vin","Feudi di San Gregorio","14,50","320,00","0,75","","Feudi di San Gregorio","","Campania","Taurasi","Aglianico 100%"
"I Tratturi Primitivo IGT","2531614","Italien","vin","Cantina San Marzano","13,50","79,90","0,75","","Cantina San Marzano","","Apulien","","Primitivo 100%"
"Sirica Campania Rosso IGT","2576814","Italien","vin","Feudi di San Gregorio","13,50","129,00","0,75","","Feudi di San Gregorio","2018","Campania","","Sirica 100%"
"Bombay Sapphire Gin","2714423","Storbritannien","sprit","Bombay Sapphire","40,00","262,00","0,70","","Bombay Sapphire","2010","","",""
"Schweppes Premium Ginger Beer","2337410","","läsk","Schweppes","0,00","10,27","0,20","","Schweppes","2018","","",""
"Santoro Bianco del Salento IGP","2548814","Italien","vin","Cantina San Marzano","12,00","70,90","0,75","","Cantina San Marzano","2011","Apulien","","Verdeca, Sauvignon Blanc"
"Schweppes Lemon Zero","1338043","","läsk","Schweppes","0,00","26,51","1,50","","Schweppes","2016","","",""
"Taurasi DOCG","2501914","Italien","vin","Feudi di San Gregorio","14,00","154,00","0,75","","Feudi di San Gregorio","2010","Campania","Taurasi","Aglianico 100%"
"SUD Negroamaro Salento IGT","2498114","Italien","vin","Cantina San Marzano","13,50","92,90","0,75","","Cantina San Marzano","2010","Apulien","","Negroamaro 100%"
"Cutizzi Greco Di Tufo DOCG","2489724","Italien","vin","Feudi di San Gregorio","13,00","173,00","0,75","","Feudi di San Gregorio","","Campania","Tufo","Greco 100%"
"Fiano di Avellino DOCG","2545514","Italien","vin","Feudi di San Gregorio","13,00","113,00","0,75","","Feudi di San Gregorio","2016","Campania","Fiano d’ Avellino","Fiano 100%"
"Greco di Tufo DOCG","2475314","Italien","vin","Feudi di San Gregorio","13,00","113,00","0,75","","Feudi di San Gregorio","","Campania","Tufo","Greco 100%"
"Luccarelli Rosso Del Salento IGT","2470814","Italien","vin","Feudi di San Marzano","12,50","72,90","0,75","","Feudi di San Marzano","","Apulien","","Sangiovese, Malvasia Nera och Aglianico"
"Aglianico del Vulture DOC","2514414","Italien","vin","Feudi di San Gregorio","14,50","103,70","0,75","","Feudi di San Gregorio","2013","Basilicata","Vulture","Aglianico del Vulture 100%"
"Luccarelli Bianco Puglia IGT","2470914","Italien","vin","Feudi di San Marzano","12,50","71,90","0,75","","Feudi di San Marzano","","Apulien","","Verdeca, Malvasia Bianca och Trebbiano"
"Il Pumo Rosato del Salento","2558814","Italien","vin","Cantina San Marzano","12,50","71,90","0,75","","Cantina San Marzano","","Apulien","","Negroamaro 100%"
"Prüm Rosé","2545714","Tyskland","vin","S.A Prüm","12,00","107,00","0,75","","S.A Prüm","2016","Mosel","","Pinot Noir 100%"
"Bernkasteler Lay Riesling GG Dry","2527824","Tyskland","vin","S.A Prüm","12,50","220,00","0,75","","S.A Prüm","2014","Mosel","","Riesling 100%"
"Wehlener Sonnenuhr Alte Reben Riesling GG","2527924","Tyskland","vin","S.A Prüm","12,50","262,00","0,75","","S.A Prüm","2014","Mosel","","Riesling 100%"
"Essence Riesling","2527014","Tyskland","vin","S.A Prüm","10,00","88,90","0,75","","S.A Prüm","2014","Mosel","","Riesling 100%"
"Wehlener Sonnenuhr Spätlese","2527724","Tyskland","vin","S.A Prüm","8,00","187,00","0,75","","S.A Prüm","2014","Mosel","","Riesling 100%"
"Rådanäs IPA 6,6","2183711","Sverige","öl","Rådanäs","6,60","24,65","0,33","","Rådanäs","2016","","",""
"Plantation Single Vintage Panama","2722523","Panama","sprit","Plantation Rum","42,00","414,00","0,70","","Plantation Rum","2015","","",""
"Plantation 3 Stars White Rum","2718923","","sprit","Plantation Rum","41,20","239,00","0,70","","Plantation Rum","2013","","",""
"Plantation Single Vintage Trinidad","2716023","Trinidad","sprit","Plantation Rum","42,00","414,00","0,70","","Plantation Rum","","","",""
"Plantation XO 20th Anniversary","2715923","Barbados","sprit","Plantation Rum","40,00","439,00","0,70","","Plantation Rum","2011","","",""
"Solitär Riesling Trocken","2527114","Tyskland","vin","S.A Prüm","11,50","89,90","0,75","","S.A Prüm","2014","Mosel","","Riesling 100%"
"Plantation Single Vintage Jamaica","2715723","Jamaica","sprit","Plantation Rum","45,20","419,00","0,70","","Plantation Rum","2015","","",""
"Plantation La Reunion 12 Years Rye Whiskey Cask","2728823","La Réunion","sprit","Plantation Rum","51,90","719,00","0,70","","Plantation Rum","2017","","",""
"Plantation Santa Lucia 2005","2722423","Santa Lucia","sprit","Plantation Rum","43,00","339,00","0,70","","Plantation Rum","2015","","",""
"Plantation Panama 8 YO","2723323","Panama","sprit","Plantation Rum","41,80","479,20","0,70","","Plantation Rum","2015","","",""
"Coto De Imaz Gran Reserva","2410414","Spanien","vin","El Coto de Rioja","14,00","177,00","0,75","","El Coto de Rioja","","Rioja","DOCa Rioja","Tempranillo, från Alta och mestadels gamla vinstockar"
"El Coto Blanco","2542011","Spanien","vin","El Coto de Rioja","12,50","41,90","0,38","","El Coto de Rioja","","Rioja","DOCa Rioja","Viura 93%, Sauvignon Blanc 3,5%, Verdejo 3,5%"
"875m Chardonnay","2528114","Spanien","vin","El Coto de Rioja","12,00","83,90","0,75","","El Coto de Rioja","2018","Rioja","DOCa Rioja","Chardonnay 100%"
"El Coto Garnacha Crianza","2524714","Spanien","vin","El Coto de Rioja","14,50","83,90","0,75","","El Coto de Rioja","2018","Rioja","DOCa Rioja","Garnacha 100%"
"El Coto Crianza","2500611","Spanien","vin","El Coto de Rioja","13,50","42,90","0,38","","El Coto de Rioja","","Rioja","DOCa Rioja","Tempranillo från regionerna Alta och Alavesa."
"Plantation Grande Reserve","2715823","Barbados","sprit","Plantation Rum","40,00","249,00","0,70","","Plantation Rum","2011","","",""
"Prüm Blue Riesling Kabinett","2527214","Tyskland","vin","S.A Prüm","11,50","129,00","0,75","","S.A Prüm","2014","Mosel","","Riesling 100%"
"Coto De Imaz Reserva","2415914","Spanien","vin","El Coto de Rioja","13,50","104,00","0,75","","El Coto de Rioja","","Rioja","DOCa Rioja","Tempranillo, varav 85% från regionen Alta. En del av stockarna är cirka 40 år, vilket ger mer koncentration åt vinet."
"Champagne de Saint-Marceaux Brut","2530014","Frankrike","vin","Champagne de Saint-Marceaux","12,00","220,00","0,75","","Champagne de Saint-Marceaux","2015","Champagne","","Pinot Noir 34%, Pinot Meunier 33%, Chardonnay 33%"
"El Coto Crianza","2402514","Spanien","vin","El Coto de Rioja","13,50","83,90","0,75","","El Coto de Rioja","","Rioja","DOCa Rioja","Tempranillo från regionerna Alta och Alavesa."
"El Coto Blanco","2405714","Spanien","vin","El Coto de Rioja","12,50","73,90","0,75","","El Coto de Rioja","","Rioja","DOCa Rioja","Viura 93%, Sauvignon Blanc 3,5%, Verdejo 3,5%"
"Original Colombard","2577714","Frankrike","vin","Rigal","11,50","68,90","0,75","","Rigal","2018","Sydvästra Frankrike","IGP Côtes de Gascogne","Colombard 100%"
"La Tour Chambert Cuvée des Hauts Coteaux EKO","2565914","Frankrike","vin","Rigal","13,00","121,00","0,75","","Rigal","2018","Sydvästra Frankrike","AOP Cahors","Malbec 85%, Merlot 15%"
"The Original Malbec","2522014","Frankrike","vin","Rigal","12,00","69,90","0,75","","Rigal","2013:2","Sydvästra Frankrike","IGP Comté Tolosan","Malbec 100%"
"L'Instant Gros Manseng","2557414","Frankrike","vin","Rigal","12,00","74,90","0,75","","Rigal","2017","Sydvästra Frankrike","IGP Côtes de Gascogne","Gros Manseng 100%"
"Carmes de Rieussec Sauternes","2519121","Frankrike","vin","Château Rieussec","13,50","164,00","0,38","","Château Rieussec","2011","Bordeaux","AOC Sauternes","Semillon 80%, Muscadelle 10%, Sauvignon Blanc 10%"
"The Original Sauvignon Blanc","2521914","Frankrike","vin","Rigal","12,00","65,40","0,75","","Rigal","2013:2","Sydvästra Frankrike","IGP Côtes de Gascogne","Sauvignon Blanc"
"Domaine Hauret Côtes de Gascogne","2557514","Frankrike","vin","Rigal","11,50","59,90","0,75","","Rigal","2017","Sydvästra Frankrike","IGP Côtes de Gascogne","Colombard 70%, Ugni Blanc 20%, Gros Manseng 10%"
"Reina De Castilla Isabelino Verdejo","2567014","Spanien","vin","Reina de Castilla","13,50","73,90","0,75","","Reina de Castilla","2018","Kastilien-León","DO Rueda","Verdejo 100%"
"Raimat Boira Garnatxa EKO","2558914","Spanien","vin","Raimat","14,00","91,90","0,75","","Raimat","2015","Katalonien","DO Catalunya","Garnacha 100%"
"Raimat Solana Chardonnay-Albariño","2534814","Spanien","vin","Raimat","12,50","75,90","0,75","","Raimat","2015","Katalonien","DO Costers del Segre","Chardonnay, Albariño"
"Anima de Raimat Tinto","2534514","Spanien","vin","Raimat","14,00","83,90","0,75","","Raimat","2015","Katalonien","DO Costers del Segre","Cabernet Sauvignon 70%, Tempranillo 20% och Syrah 10%"
"Anima de Raimat Blanco","2534614","Spanien","vin","Raimat","13,00","77,40","0,75","","Raimat","2015","Katalonien","DO Costers del Segre","Chardonnay 90%, Xarel-lo 5% och Albariño 5%"
"Raimat Abadia","2534714","Spanien","vin","Raimat","13,50","75,90","0,75","","Raimat","2015","Katalonien","DO Costers del Segre","Cabernet Sauvignon, Tempranillo"
"Adega Velha Old Brandy 12 XO","2708022","Portugal","sprit","Quinta da Aveleda","40,00","389,00","0,50","","Quinta da Aveleda","2014","","","Vinhão, Azal (röd), Borracal och Espadeiro"
"La Guita Manzanilla","2493821","Spanien","vin","Rainera Perez Marin","15,00","50,90","0,38","","Rainera Perez Marin","2008","Jerez","","Palomino 100%"
"Macmurray Russian River Pinot Noir","2493614","USA","vin","MacMurray Ranch","14,00","167,00","0,75","","MacMurray Ranch","","Kalifornien","Russian River Valley","Pinot Noir 100%"
"Aveleda Alvarinho","2516014","Portugal","vin","Quinta da Alveleda","12,00","75,90","0,75","","Quinta da Alveleda","2013","Minho","VR Minho","Alvarinho 100%"
"Raimat Terra Garnacha Blanca Chardonnay EKO","2534914","Spanien","vin","Raimat","13,00","83,90","0,75","","Raimat","2015","Katalonien","","Garnacha Blanca 50%, Chardonnay 50%"
"Croft Pink Port","2515722","Portugal","vin","Croft Port","19,50","126,00","0,50","","Croft Port","2013","DOC Porto","","Touriga Nacional, Tinta Roriz, Tinta Francesa , mfl klassiska portvinsdruvor"
"Croft 10 Year Old Tawny Port","2541324","Portugal","vin","Croft Port","20,00","197,00","0,75","","Croft Port","2015","DOC Porto","","Touriga Nacional, Touriga Francesa, Tinto Cão, Tinta Roriz, Tinta Barroca"
"Croft Port 20 Year Old Tawny Port","2515824","Portugal","vin","Croft Port","20,00","298,00","0,75","","Croft Port","2013","DOC Porto","","Touriga Nacional, Tinta Roriz och Touriga Francesa i huvudsak"
"Pomino Bianco DOC","2494814","Italien","vin","Castello di Pomino","12,50","115,00","0,75","","Castello di Pomino","2009","Toscana","","Till största delen Chardonnay och Pinot Bianco samt en liten del kompletterande gröna druvor."
"Pomino Vinsanto DOC","2496922","Italien","vin","Castello di Pomino","14,50","259,00","0,50","","Castello di Pomino","2010","Toscana","","Trebbiano, Malvasia toscana och San Colombano."
"San Constantino Cannonau di Sardegna DOC","2545314","Italien","vin","Poderi Parpinello","14,00","109,00","0,75","","Poderi Parpinello","2016","Sardegna","","Cannonau di Sardegna 100%"
"Croft Pink Port","2515712","Portugal","vin","Croft Port","19,50","126,00","0,50","","Croft Port","2013","DOC Porto","","Touriga Nacional, Tinta Roriz, Tinta Francesa , mfl klassiska portvinsdruvor"
"Ala Blanca Vermentino di Sardegna DOC","2545214","Italien","vin","Poderi Parpinello","13,50","96,90","0,75","","Poderi Parpinello","2016","Sardegna","","Vermentino di Sardegna 100%"
"Croft Reserve Port Ruby 4 YO","2561724","Portugal","vin","Croft Port","20,00","138,00","0,75","","Croft Port","2017","DOC Porto","","Touriga Nacional, Touriga Franca, Tinta Barroca, Tinta Roriz, Tinto Cão, Tinta Amarela"
"Quinta da Aveleda Vinho Verde","2526714","Portugal","vin","Quinta da Alveleda","11,50","73,90","0,75","","Quinta da Alveleda","2014","Minho","DOC Vinho Verde","Loureiro 80%, Alvarinho 20%"
"Coto De Imaz Reserva","2453526","Spanien","vin","El Coto de Rioja","13,50","205,00","1,50","","El Coto de Rioja","","Rioja","DOCa Rioja","Tempranillo, varav 85% från regionen Alta. En del av stockarna är cirka 40 år, vilket ger mer koncentration åt vinet."
"Pierre Ferrand Cognac 1840","2722023","Frankrike","sprit","Cognac Pierre Ferrand","45,00","404,00","0,70","","Cognac Pierre Ferrand","2014:2","","",""
"Verdicchio dei Castelli di Jesi Classico DOC","2514914","Italien","vin","Piersanti","12,50","71,90","0,75","","Piersanti","2013","Marche","","Verdicchio 100%"
"Claude Chatelier VS","2716623","Frankrike","sprit","Cognac Pierre Ferrand","40,00","315,00","0,70","","Cognac Pierre Ferrand","2011","","",""
"Pierre Ferrand Ambre","2716423","Frankrike","sprit","Cognac Pierre Ferrand","40,00","381,00","0,70","","Cognac Pierre Ferrand","2011","","",""
"Pierre Ferrand Selection des Anges","2716223","Frankrike","sprit","Cognac Pierre Ferrand","40,00","829,00","0,70","","Cognac Pierre Ferrand","2011","","",""
"Cour de Pocé","2508014","Frankrike","vin","Pierre Chainier","11,50","68,40","0,75","","Pierre Chainier","2011","Loire","IGP Val de Loire","Sauvignon Blanc 100%"
"Plantation Single Vintage 2005 Guyana","2729723","Guyana","sprit","Cognac Pierre Ferrand","45,00","414,00","0,70","","Cognac Pierre Ferrand","2018","","",""
"Pierre Ferrand Dry Curacao","2721223","Frankrike","sprit","Cognac Pierre Ferrand","40,00","320,00","0,70","","Cognac Pierre Ferrand","2014","","",""
"Clos de Nouys Vouvray Moelleux","2503424","Frankrike","vin","Pierre Chainier","12,50","135,00","0,75","","Pierre Chainier","2010","Loire","AOC Vouvray","Chenin Blanc 100%"
"La Saulzaie Muscadet Sèvre-et-Maine-Sur-Lie","2498514","Frankrike","vin","Pierre Chainier","12,00","82,90","0,75","","Pierre Chainier","2010","Loire","AOP Muscadet de Sèvre-et-Maine","Melon de Bourgogne 100%"
"Clos de Nouys Vouvray Sec","2508114","Frankrike","vin","Pierre Chainier","12,50","113,00","0,75","","Pierre Chainier","2011","Loire","AOP Vouvray","Chenin Blanc 100%"
"Plantation Single Vintage Fiji","2729523","Fiji","sprit","Cognac Pierre Ferrand","44,80","414,00","0,70","","Cognac Pierre Ferrand","2018","","",""
"Plantation Single Vintage Peru","2729623","Peru","sprit","Cognac Pierre Ferrand","43,50","414,00","0,70","","Cognac Pierre Ferrand","2018","","",""
"Plantation OFTD","2728223","Barbados","sprit","Cognac Pierre Ferrand","69,00","569,00","0,70","","Cognac Pierre Ferrand","2018","","",""
"Pouilly-Fumé Quintessence","2525814","Frankrike","vin","Pierre Chainier","12,50","133,90","0,75","","Pierre Chainier","2014","Loire","AOP Pouilly-Fumé","Sauvignon Blanc 100%"
"Château Pichon-Longueville Comtesse de Lalande","2534024","Frankrike","vin","Château Pichon-Longueville Comtesse de Lalande","14,00","1949,00","0,75","","Château Pichon-Longueville Comtesse de Lalande","2015","Bordeaux","Haut-Médoc","Cabernet Sauvignon 75%, Merlot 20%, Petit Verdot 5%"
"Les Calcaires Sauvignon Blanc","2570614","Frankrike","vin","Pierre Chainier","12,00","69,90","0,75","","Pierre Chainier","2018","Loire","Vin de France","Sauvignon Blanc 100%"
"Philipponnat Blanc de Noirs Extra Brut","2531924","Frankrike","vin","Champagne Philipponnat","12,00","485,00","0,75","","Champagne Philipponnat","2015","Champagne","","Pinot Noir 100%"
"Ghost Pines Chardonnay","2554614","USA","vin","Ghost Pines","14,50","127,00","0,75","","Ghost Pines","2017","Kalifornien","Napa Valley, Sonoma County, Monterey County","Chardonnay 98%, utvalda vitvinsdruvor 2%"
"Eau de Vie Marc de Champagne du Clos des Goisses","2716922","Frankrike","sprit","Champagne Philipponnat","43,00","458,00","0,50","","Champagne Philipponnat","2014","","",""
"Philipponnat Royale Réserve Non Dosé","2498414","Frankrike","vin","Champagne Philipponnat","12,00","311,00","0,75","","Champagne Philipponnat","2010","","","Pinot Noir 65%, Chardonnay 30% och Pinot Meunier 5%"
"Michel Picard Bourgogne Chardonnay","2494114","Frankrike","vin","Maison Michel Picard","12,00","116,00","0,75","","Maison Michel Picard","","Bourgogne","AOC Bourgogne","Chardonnay 100%"
"Clos Des Goisses Extra Brut","2476424","Frankrike","vin","Champagne Philipponnat","13,00","1331,00","0,75","","Champagne Philipponnat","","Champagne","","Pinot Noir 70% och Chardonnay 30%"
"Philipponnat Sublime Réserve Sec","2459514","Frankrike","vin","Champagne Philipponnat","12,00","482,00","0,75","","Champagne Philipponnat","2010","","","Chardonnay 100%"
"Cuvée ""1522"" Rosé Premier Cru Extra Brut","2478124","Frankrike","vin","Champagne Philipponnat","12,00","807,00","0,75","","Champagne Philipponnat","2011","","","Pinot Noir från Léon à Aÿ 53%, Mareuil Sur Aÿ 7%, Chardonnay Côte des Blancs 40%"
"Philipponnat Royale Réserve Brut","2433518","Frankrike","vin","Champagne Philipponnat","12,00","22558,00","18,00","","Champagne Philipponnat","","Champagne","","Pinot Noir 65%, Chardonnay 30% och Pinot Meunier 5%"
"Philipponnat Royale Réserve Brut","2431918","Frankrike","vin","Champagne Philipponnat","12,00","6041,00","9,00","","Champagne Philipponnat","","Champagne","","Pinot Noir 65%, Chardonnay 30% och Pinot Meunier 5%"
"Philipponnat Royale Réserve Rosé Brut","2451514","Frankrike","vin","Champagne Philipponnat","12,00","365,00","0,75","","Champagne Philipponnat","","Champagne","","Pinot Noir 50%, Chardonnay 30% och Pinot Meunier 20%"
"Philipponnat Grand Blanc Extra Brut","2418414","Frankrike","vin","Champagne Philipponnat","12,00","485,00","0,75","","Champagne Philipponnat","","Champagne","","Chardonnay 100%"
"Philipponnat Grand Blanc Extra Brut","2418424","Frankrike","vin","Champagne Philipponnat","12,00","485,00","0,75","","Champagne Philipponnat","","Champagne","","Chardonnay 100%"
"Cuvée ”1522” Millésimée Grand Cru Extra Brut","2478024","Frankrike","vin","Champagne Philipponnat","12,00","600,00","0,75","","Champagne Philipponnat","","Champagne","","Pinot Noir från Léon à Aÿ 60% och Chardonnay från Côte des Blancs 40%"
"Philipponnat Royale Réserve Brut","2406014","Frankrike","vin","Champagne Philipponnat","12,00","311,00","0,75","","Champagne Philipponnat","","Champagne","","Pinot Noir 65%, Chardonnay 30% och Pinot Meunier 5%"
"Philipponnat Royale Réserve Brut","2402716","Frankrike","vin","Champagne Philipponnat","12,00","654,00","1,50","","Champagne Philipponnat","","Champagne","","Pinot Noir 65%, Chardonnay 30% och Pinot Meunier 5%"
"Philipponnat Royale Réserve Brut","2404617","Frankrike","vin","Champagne Philipponnat","12,00","1775,00","3,00","","Champagne Philipponnat","","Champagne","","Pinot Noir 65%, Chardonnay 30% och Pinot Meunier 5%"
"Philipponnat Royale Réserve Brut","2402018","Frankrike","vin","Champagne Philipponnat","12,00","8375,00","12,00","","Champagne Philipponnat","","Champagne","","Pinot Noir 65%, Chardonnay 30% och Pinot Meunier 5%"
"Philipponnat Royale Réserve Brut","2402118","Frankrike","vin","Champagne Philipponnat","12,00","13412,00","15,00","","Champagne Philipponnat","","Champagne","","Pinot Noir 65%, Chardonnay 30% och Pinot Meunier 5%"
"Paxton Quandong Farm Shiraz EKO","2578524","Australien","vin","Paxton","14,00","159,00","0,75","","Paxton","2018","South Australia","McLaren Vale","Shiraz 100%"
"The Guesser white EKO","2566314","Australien","vin","Paxton","12,50","111,00","0,75","","Paxton","2018","South Australia","McLaren Vale","Sauvignon Blanc 46%, Chardonnay 34.5%, Pinot Gris 16%, Marsanne 3.5%"
"Paulaner Hefe-Weissbier Non-Alcoholic 0,5","2175712","Tyskland","öl","Paulaner Brauerei","0,50","15,58","0,50","","Paulaner Brauerei","2015","","",""
"The Guesser red EKO","2566414","Australien","vin","Paxton","14,00","111,00","0,75","","Paxton","2018","South Australia","McLaren Vale","Shiraz 45%, Cabernet Sauvignon 24.7%, Grenache 16.7%, Mataro 6.5%, Nebbiolo 6.5%, Tempranillo 0.6%"
"Imago Red","2551114","Argentina","vin","Grupo Peñaflor","13,00","59,90","0,75","","Grupo Peñaflor","2017","Mendoza","Uco Valley","Malbec 60%, Petit Verdot 35%, Cabernet Sauvignon 5%"
"Bourgueil Paul Buisse","2537914","Frankrike","vin","Pierre Chainier","12,50","83,40","0,75","","Pierre Chainier","2015","Loire","AOP Bourgueil","Cabernet Franc  (Breton) 100%"
"Pierre Ferrand Esprit des Dieux","2716323","Frankrike","sprit","Cognac Pierre Ferrand","40,00","618,00","0,70","","Cognac Pierre Ferrand","2011","","",""
"Paulaner Oktoberfest-Bier 6,0","2137612","Tyskland","öl","Paulaner Brauerei","6,00","28,18","0,50","","Paulaner Brauerei","","","",""
"Paulaner Hefe-Weissbier 5,5","2136191","Tyskland","öl","Paulaner Brauerei","5,50","1091,70","20,00","","Paulaner Brauerei","","","",""
"Paulaner Hefe-Weissbier Dunkel","2167012","Tyskland","öl","Paulaner Brauerei","5,30","26,97","0,50","","Paulaner Brauerei","2014","","",""
"Paulaner Münchner Hell 4,9","2136212","Tyskland","öl","Paulaner Brauerei","4,90","26,29","0,50","","Paulaner Brauerei","","","",""
"Highland Park 12 YO Malt Whisky","2721523","","sprit","Highland Park","40,00","375,00","0,70","","Highland Park","2014","","",""
"Paulaner Hefe-Weissbier 5,5","2136112","Tyskland","öl","Paulaner Brauerei","5,50","27,57","0,50","","Paulaner Brauerei","","","",""
"Tiger Beer 4,6","2138211","Singapore","öl","Asia Pacific Breweries","4,60","17,13","0,33","","Asia Pacific Breweries","","","",""
"Omero Cellars Chardonnay","2541824","USA","vin","Omero Cellars","13,00","242,00","0,75","","Omero Cellars","2017","Oregon","Willamette Valley","Chardonnay 100%"
"Conte di Matàrocco EKO","2539614","Italien","vin","Cantine Paolini","12,00","75,90","0,75","","Cantine Paolini","2015","Sicilien","","Nero d´Avola 100%"
"Omero Cellars Coats & Whitney Pinot Noir","2541714","USA","vin","Omero Cellars","13,00","349,00","0,75","","Omero Cellars","2017","Oregon","Willamette Valley",""
"Omero Cellars Pinot Noir","2541924","USA","vin","Omero Cellars","13,00","230,00","0,75","","Omero Cellars","2017","Oregon","Willamette Valley","Pinot Noir 100%"
"Omero Cellars Pinot Noir","2541914","USA","vin","Omero Cellars","13,00","230,00","0,75","","Omero Cellars","2017","Oregon","Willamette Valley","Pinot Noir 100%"
"Héritages Côtes du Rhône Blanc EKO","2524114","Frankrike","vin","Ogier","13,50","95,90","0,75","","Ogier","2013:2","Rhône","AOP Côtes du Rhône","Grenache blanc 30%, Clairette 20%, Bourboulenc 20%, Roussanne 10%, Marsanne 10%, Viognier 10%"
